Designator,Mid X,Mid Y,Rotation,Layer
LED51,157.1625,-133.6675,0.0,top
LED52,176.2125,-133.6675,0.0,top
LED53,195.2625,-133.6675,0.0,top
LED54,214.3125,-133.6675,0.0,top
LED55,233.3625,-133.6675,0.0,top
LED56,252.4125,-133.6675,0.0,top
LED57,271.4625,-133.6675,0.0,top
LED58,290.5125,-133.6675,0.0,top
LED59,309.5625,-133.6675,0.0,top
LED6,214.3125,-86.0425,0.0,top
LED60,328.6125,-133.6675,0.0,top
LED61,352.425,-133.6675,0.0,top
LED62,97.63125,-152.7175,0.0,top
LED63,123.825,-152.7175,0.0,top
LED64,142.875,-152.7175,0.0,top
LED65,161.925,-152.7175,0.0,top
LED66,180.975,-152.7175,0.0,top
LED67,200.025,-152.7175,0.0,top
LED68,219.075,-152.7175,0.0,top
LED69,238.125,-152.7175,0.0,top
LED7,233.3625,-86.0425,0.0,top
LED70,257.175,-152.7175,0.0,top
LED71,276.225,-152.7175,0.0,top
LED72,295.275,-152.7175,0.0,top
LED73,314.325,-152.7175,0.0,top
LED74,345.28125,-152.7175,0.0,top
LED75,102.39375,-171.7675,0.0,top
LED76,133.35,-171.7675,0.0,top
LED77,152.4,-171.7675,0.0,top
LED78,171.45,-171.7675,0.0,top
LED79,190.5,-171.7675,0.0,top
LED8,252.4125,-86.0425,0.0,top
LED80,209.55,-171.7675,0.0,top
LED81,228.6,-171.7675,0.0,top
LED82,247.65,-171.7675,0.0,top
LED83,266.7,-171.7675,0.0,top
LED84,285.75,-171.7675,0.0,top
LED85,304.8,-171.7675,0.0,top
LED86,340.51875,-171.7675,0.0,top
LED87,90.4875,-190.8175,0.0,top
LED88,109.5375,-190.8175,0.0,top
LED89,128.5875,-190.8175,0.0,top
LED9,271.4625,-86.0425,0.0,top
LED90,147.6375,-190.8175,0.0,top
LED91,185.7375,-190.8175,0.0,top
LED92,216.69375,-190.8175,0.0,top
LED93,247.65,-190.8175,0.0,top
LED94,285.75,-190.8175,0.0,top
LED95,307.18125,-190.8175,0.0,top
LED96,330.99375,-190.8175,0.0,top
LED97,354.80625,-190.8175,0.0,top
LED98,447.45625,-131.28625,0.0,top
LED99,456.98125,-131.2225,0.0,top
MX1,90.4875,-78.8725,0.0,top
MX10,300.0375,-78.8725,0.0,top
MX11,319.0875,-78.8725,0.0,top
MX12,338.1375,-78.8725,0.0,top
MX13,357.1875,-78.8725,0.0,top
MX14,385.7625,-78.8725,0.0,top
MX15,404.8125,-78.8725,0.0,top
MX16,423.8625,-78.8725,0.0,top
MX17,90.4875,-107.4475,0.0,top
MX18,109.5375,-107.4475,0.0,top
MX19,128.5875,-107.4475,0.0,top
MX2,128.5875,-78.8725,0.0,top
MX20,147.6375,-107.4475,0.0,top
MX21,166.6875,-107.4475,0.0,top
MX22,185.7375,-107.4475,0.0,top
MX23,204.7875,-107.4475,0.0,top
MX24,223.8375,-107.4475,0.0,top
MX25,242.8875,-107.4475,0.0,top
MX26,261.9375,-107.4475,0.0,top
MX27,280.9875,-107.4475,0.0,top
MX28,300.0375,-107.4475,0.0,top
MX29,319.0875,-107.4475,0.0,top
MX3,147.6375,-78.8725,0.0,top
MX30,347.6625,-107.4475,0.0,top
MX32,385.7625,-107.4475,0.0,top
MX33,95.25,-126.4975,0.0,top
MX34,119.0625,-126.4975,0.0,top
MX35,138.1125,-126.4975,0.0,top
MX36,157.1625,-126.4975,0.0,top
MX37,176.2125,-126.4975,0.0,top
MX38,195.2625,-126.4975,0.0,top
MX39,214.3125,-126.4975,0.0,top
MX4,166.6875,-78.8725,0.0,top
MX40,233.3625,-126.4975,0.0,top
MX41,252.4125,-126.4975,0.0,top
MX42,271.4625,-126.4975,0.0,top
MX43,290.5125,-126.4975,0.0,top
MX44,309.5625,-126.4975,0.0,top
MX45,328.6125,-126.4975,0.0,top
MX46,352.425,-126.4975,0.0,top
MX47,404.8125,-107.4475,0.0,top
MX48,423.8625,-107.4475,0.0,top
MX49,97.63125,-145.5475,0.0,top
MX5,185.7375,-78.8725,0.0,top
MX50,123.825,-145.5475,0.0,top
MX51,142.875,-145.5475,0.0,top
MX52,161.925,-145.5475,0.0,top
MX53,180.975,-145.5475,0.0,top
MX54,200.025,-145.5475,0.0,top
MX55,219.075,-145.5475,0.0,top
MX56,238.125,-145.5475,0.0,top
MX57,257.175,-145.5475,0.0,top
MX58,276.225,-145.5475,0.0,top
MX59,295.275,-145.5475,0.0,top
MX6,214.3125,-78.8725,0.0,top
MX60,314.325,-145.5475,0.0,top
MX61,345.28125,-145.5475,0.0,top
MX62,385.7625,-126.4975,0.0,top
MX63,404.8125,-126.4975,0.0,top
MX64,423.8625,-126.4975,0.0,top
MX65,102.39375,-164.5975,0.0,top
MX66,133.35,-164.5975,0.0,top
MX67,152.4,-164.5975,0.0,top
MX68,171.45,-164.5975,0.0,top
MX69,190.5,-164.5975,0.0,top
MX7,233.3625,-78.8725,0.0,top
MX70,209.55,-164.5975,0.0,top
MX71,228.6,-164.5975,0.0,top
MX72,247.65,-164.5975,0.0,top
MX73,266.7,-164.5975,0.0,top
MX74,285.75,-164.5975,0.0,top
MX75,304.8,-164.5975,0.0,top
MX76,340.51875,-164.5975,0.0,top
MX77,385.7625,-164.5975,0.0,top
MX78,404.8125,-164.5975,0.0,top
MX79,423.8625,-164.5975,0.0,top
MX8,252.4125,-78.8725,0.0,top
MX80,471.4875,-145.5475,0.0,top
MX81,90.4875,-183.6475,0.0,top
MX82,109.5375,-183.6475,0.0,top
MX83,128.5875,-183.6475,0.0,top
MX84,147.6375,-183.6475,0.0,top
MX85,216.69375,-183.6475,0.0,top
MX86,452.4375,-164.5975,0.0,top
MX87,471.4875,-164.5975,0.0,top
MX88,490.5375,-164.5975,0.0,top
MX89,490.5375,-145.5475,0.0,top
MX9,271.4625,-78.8725,0.0,top
MX90,285.75,-183.6475,0.0,top
MX91,307.18125,-183.6475,0.0,top
MX92,330.99375,-183.6475,0.0,top
MX93,354.80625,-183.6475,0.0,top
MX94,385.7625,-183.6475,0.0,top
MX95,404.8125,-183.6475,0.0,top
MX96,423.8625,-183.6475,0.0,top
R1,476.7,-188.1,0.0,top
R2,476.6,-183.0,0.0,top
SW1,489.1,-185.5,0.0,top
